curr_codes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NIO,,,,,,7.50951,8.41406,9.4283,10.56522,11.78,12.27436,13.33858,14.18504,14.97329,15.7894,16.21866,16.61228,17.9564,19.06691,19.7123,20.97504,22.06187,23.14636,24.26589,24.92278,,,,,
NOK,6.25687,6.48894,6.21318,7.09502,7.05618,6.33474,6.45516,7.07336,7.54383,7.79757,8.79711,8.9828,7.98045,7.07534,6.73863,6.43919,6.40844,5.85689,5.63791,6.28483,6.03943,5.60077,5.81634,5.87556,6.14138,,,,,
NPR,,,,,,50.41281,55.20205,56.92689,61.62123,67.89104,71.00586,74.12855,74.04696,72.8625,70.03195,67.59326,68.86218,64.45235,68.49827,76.24335,71.93918,73.40597,83.69775,92.38301,98.03771,,,,,
NZD,1.67552,1.72845,1.85725,1.84855,1.68497,1.5232,1.45365,1.51323,1.86656,1.88944,2.1984,2.37587,2.1591,1.72134,1.50789,1.41947,1.5413,1.36044,1.42358,1.59735,1.38705,1.26448,1.2348,1.21978,1.20998,,,,,
OMR,,,,,,,,,,,0.38498,0.38484,0.38377,0.38424,0.38417,0.3846,0.38381,0.38358,0.38358,0.38358,0.38332,0.3838,0.38371,0.38387,0.38394,,,,,
PAB,,,,,,1,1,1,1,1,0.9971,0.9966,0.99918,1,0.99669,0.9903,0.9655,0.97641,0.98317,0.98263,0.98296,0.9826,0.9812,0.98181,0.98199,,,,,
PEN,,,,,,2.30657,2.44778,2.65878,2.92581,3.37905,3.48716,3.4627,3.36737,3.35478,3.31869,3.2815,3.1856,3.05868,2.87885,2.97032,2.78703,2.72151,2.59782,2.65828,2.75682,,,,,
PGK,,,,,,0.78748,1.3142,1.42421,2.0712,2.56927,2.74116,3.31479,3.82525,3.47925,3.21057,3.03207,2.86268,2.81573,2.58743,2.62215,2.58265,2.27242,1.97567,2.22129,2.45572,,,,,
PHP,,,,27.98929,26.28768,25.62491,26.20456,29.53438,40.80573,39.06668,44.14768,50.85671,51.48022,54.0579,55.906,54.97704,51.15005,45.94119,44.27701,47.44368,44.94371,43.18438,42.09536,42.35422,44.52496,,,,,
PKR,,,,30.03696,30.53458,31.60821,35.99843,41.07714,48.63593,51.3309,53.77905,61.13286,58.27136,55.73157,56.65079,59.47808,60.12967,60.53676,70.23835,81.34934,84.43015,85.65757,92.6039,100.70652,104.51808,,,,,
